Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
QA-S1-03: Smoke checklist ,SBS-314,10420,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:50 PM,15/Jul/26 3:34 PM,,15/Jul/26 3:31 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i000hv:,SPRINT 1,,,1.0,,,Done,15/Jul/26 3:31 PM
QA-S1-02: Test case Auth (2 SP),SBS-304,10410,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:49 PM,15/Jul/26 3:19 PM,,15/Jul/26 3:19 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i0017l:i,SPRINT 1,,,2.0,,,Done,15/Jul/26 3:19 PM
QA-S1-01: Test Plan v1,SBS-300,10406,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:48 PM,15/Jul/26 3:19 PM,,15/Jul/26 3:19 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i0017m:,SPRINT 1,,,2.0,,,Done,15/Jul/26 3:19 PM
QA-S3-03: Regression,SBS-299,10405,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:48 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029k:9,SPRINT 3,,,1.0,,,Done,15/Jul/26 3:51 PM
QA-S3-02: Test PIN,SBS-298,10404,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,TrungHoang lê,712020:55551c28-ba57-4442-a23d-17b4aa99887f,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:48 PM,15/Jul/26 3:50 PM,15/Jul/26 3:49 PM,15/Jul/26 3:50 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i002bj:,SPRINT 3,,,2.0,,,Done,15/Jul/26 3:50 PM
QA-S3-01: Test STK,SBS-296,10402,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Quang Nguyễn,712020:52fd5a54-b2c3-407c-a5ad-9ab2de255e65,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:48 PM,15/Jul/26 3:50 PM,15/Jul/26 3:52 PM,15/Jul/26 3:50 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i002b3:,SPRINT 3,,,2.0,,,Done,15/Jul/26 3:50 PM
FE-S3-04: WalletCard,SBS-294,10400,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:48 PM,15/Jul/26 3:51 PM,15/Jul/26 3:49 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029n:,SPRINT 3,,,2.0,,,Done,15/Jul/26 3:51 PM
QA-S8-02: Test filter,SBS-293,10399,Feature,To Do,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,,,,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,15/Jul/26 2:48 PM,15/Jul/26 2:48 PM,,,,0,,,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,,,,,,,,,,,0|i002af:,SPRINT 8,,,2.0,,,To Do,15/Jul/26 2:48 PM
FE-S3-03: Verify PIN modal,SBS-292,10398,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,TrungHoang lê,712020:55551c28-ba57-4442-a23d-17b4aa99887f,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:48 PM,15/Jul/26 3:50 PM,15/Jul/26 3:47 PM,15/Jul/26 3:50 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i002a7:,SPRINT 3,,,2.0,,,Done,15/Jul/26 3:50 PM
FE-S3-02: Setup PIN,SBS-289,10395,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Quang Nguyễn,712020:52fd5a54-b2c3-407c-a5ad-9ab2de255e65,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:47 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029j:,SPRINT 3,,,3.0,,,Done,15/Jul/26 3:51 PM
